,nvarsOrig,nclausesOrig,nvars,nclauses,reducedVars,reducedClauses,Pre-featuretime,vars-clauses-ratio,POSNEG-RATIO-CLAUSE-mean,POSNEG-RATIO-CLAUSE-coeff-variation,POSNEG-RATIO-CLAUSE-min,POSNEG-RATIO-CLAUSE-max,POSNEG-RATIO-CLAUSE-entropy,VCG-CLAUSE-mean,VCG-CLAUSE-coeff-variation,VCG-CLAUSE-min,VCG-CLAUSE-max,VCG-CLAUSE-entropy,UNARY,BINARY+,TRINARY+,Basic-featuretime,VCG-VAR-mean,VCG-VAR-coeff-variation,VCG-VAR-min,VCG-VAR-max,VCG-VAR-entropy,POSNEG-RATIO-VAR-mean,POSNEG-RATIO-VAR-stdev,POSNEG-RATIO-VAR-min,POSNEG-RATIO-VAR-max,POSNEG-RATIO-VAR-entropy,HORNY-VAR-mean,HORNY-VAR-coeff-variation,HORNY-VAR-min,HORNY-VAR-max,HORNY-VAR-entropy,horn-clauses-fraction,VG-mean,VG-coeff-variation,VG-min,VG-max,KLB-featuretime,CG-mean,CG-coeff-variation,CG-min,CG-max,CG-entropy,cluster-coeff-mean,cluster-coeff-coeff-variation,cluster-coeff-min,cluster-coeff-max,cluster-coeff-entropy,CG-featuretime,DIAMETER-mean,DIAMETER-coeff-variation,DIAMETER-min,DIAMETER-max,DIAMETER-entropy,DIAMETER-featuretime,cl-num-mean,cl-num-coeff-variation,cl-num-min,cl-num-max,cl-num-q90,cl-num-q10,cl-num-q75,cl-num-q25,cl-num-q50,cl-size-mean,cl-size-coeff-variation,cl-size-min,cl-size-max,cl-size-q90,cl-size-q10,cl-size-q75,cl-size-q25,cl-size-q50,cl-featuretime,SP-bias-mean,SP-bias-coeff-variation,SP-bias-min,SP-bias-max,SP-bias-q90,SP-bias-q10,SP-bias-q75,SP-bias-q25,SP-bias-q50,SP-unconstraint-mean,SP-unconstraint-coeff-variation,SP-unconstraint-min,SP-unconstraint-max,SP-unconstraint-q90,SP-unconstraint-q10,SP-unconstraint-q75,SP-unconstraint-q25,SP-unconstraint-q50,sp-featuretime,vars-reduced-depth-1,vars-reduced-depth-4,vars-reduced-depth-16,vars-reduced-depth-64,vars-reduced-depth-256,unit-featuretime,LP_OBJ,LPSLack-mean,LPSLack-coeff-variation,LPSLack-min,LPSLack-max,lpIntRatio,lpTIME,saps_BestSolution_Mean,saps_BestSolution_CoeffVariance,saps_FirstLocalMinStep_Mean,saps_FirstLocalMinStep_CoeffVariance,saps_FirstLocalMinStep_Median,saps_FirstLocalMinStep_Q.10,saps_FirstLocalMinStep_Q.90,saps_BestAvgImprovement_Mean,saps_BestAvgImprovement_CoeffVariance,saps_FirstLocalMinRatio_Mean,saps_FirstLocalMinRatio_CoeffVariance,ls-saps-featuretime,gsat_BestSolution_Mean,gsat_BestSolution_CoeffVariance,gsat_FirstLocalMinStep_Mean,gsat_FirstLocalMinStep_CoeffVariance,gsat_FirstLocalMinStep_Median,gsat_FirstLocalMinStep_Q.10,gsat_FirstLocalMinStep_Q.90,gsat_BestAvgImprovement_Mean,gsat_BestAvgImprovement_CoeffVariance,gsat_FirstLocalMinRatio_Mean,gsat_FirstLocalMinRatio_CoeffVariance,ls-gsat-featuretime,lobjois-mean-depth-over-vars,lobjois-log-num-nodes-over-vars,lobjois-featuretime,cnfname
0,26256.0,77806.0,6962.0,37773.0,2.771330078,1.059831096,0.28,0.184311545,0.439246986,0.76650053,0.0,1.0,1.530583816,0.000504674,0.6887988279999999,0.000287274,0.018960069,1.166325942,0.0,0.09877425699999999,0.515897599,-0.0,0.000504674,1.211123269,0.000185318,0.017446324,2.669374065,0.07073159799999999,0.114871735,0.0,0.938461538,1.6345282769999998,0.00019580099999999998,1.231809917,0.0,0.005321261,2.656865985,0.427501125,0.00042071599999999996,1.90664099,0.00013237,0.012257433,0.1,-1.0,-0.0,-1.0,0.0,-512.0,-1.0,-0.0,-1.0,0.0,-0.0,20.02,7.317422434,0.08143502799999999,6.0,9.0,0.900095258,2.02,428.230769231,0.471050353,61.0,925.0,747.0,242.0,542.0,268.0,398.0,28.094679677,0.252141732,11.704918033,42.228028504,35.279642058,17.588500564,32.892030848000005,24.132231405,31.09375,2.0,0.13888799400000001,1.626320463,0.0,1.0,0.49545934700000005,0.0,0.220996096,1e-09,0.000254367,0.112348918,0.735991342,-0.0,0.34570505700000004,0.222229125,0.0006847060000000001,0.17628101100000002,0.038226453,0.10266051699999999,0.88,0.0,0.000287274,0.54567653,0.570812985,0.570812985,0.38,-512.0,0.0,0.0,0.0,0.0,0.0,29.46,431.793,0.353557,1190.17,0.194036,1232.0,1179.0,1266.0,0.646848,0.576459,0.832233,0.136353,2.14,427.263,0.289309,1199.24,0.168067,1224.0,1193.0,1266.0,0.175027,2.00121,0.82986,0.120666,2.36,0.17401727,0.7311225490000001,2.0,sc14-app_train_preprocessed/bob12m02-opt_preprocessedi_features_preprocessed.txt
0,800.0,47365.0,800.0,47365.0,0.0,0.0,0.32,0.016890109,0.380490582,1.18544644,0.0,1.0,2.087131975,0.017946796,1.282207144,0.0025,0.08125,1.6412550259999998,0.0,0.681473662,0.681473662,-0.0,0.017946796,0.92246996,0.00120342,0.046954502,5.271226561000001,0.443779597,0.363993853,0.0,0.851926978,3.2507148710000004,0.001294627,0.623661271,0.00019001400000000001,0.003188008,4.570645599,0.517850734,0.009222685999999999,0.017779998999999998,0.008191703,0.009606249,0.14,-1.0,-0.0,-1.0,0.0,-512.0,-1.0,-0.0,-1.0,0.0,-0.0,28.12,3.0,0.0,3.0,3.0,-0.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98,0.868490843,0.11505935699999999,0.6393879720000001,0.989695798,0.9798571229999999,0.743269395,0.971610139,0.775529079,0.87685113,0.259164542,0.28479680399999996,0.08717956800000001,0.5,0.346450476,0.162908946,0.292715978,0.21339571,0.258767436,2.28,0.09125,0.2075,0.43875,0.45625,0.45625,0.52,-512.0,0.0,0.0,0.0,0.0,0.0,103.72,15.6429,2.42619,356.714,0.292844,386.0,342.0,402.0,18.9588,0.22163,0.998963,0.0069234,2.06,25.8571,1.31945,351.643,0.300588,376.0,336.0,412.0,20.1058,0.153659,1.00017,0.00226376,2.06,0.527647929,0.9907489009999999,2.0,sc14-app_train_preprocessed/complete-400-0.1-7-9876543214007_preprocessedi_features_preprocessed.txt
0,61642.0,644099.0,31558.0,544741.0,0.953292351,0.182394936,2.88,0.057932118,0.429005398,0.763120462,0.0,1.0,1.862934689,0.000126541,0.469909222,6.3375e-05,0.000982318,1.703638901,0.0,0.13388748,0.5491545520000001,0.1,0.000126541,2.608618685,3.671e-06,0.002329547,4.092056254,0.339865969,0.228461107,0.0,1.0,3.806680203,3.7903e-05,1.7693219869999999,0.0,0.0008462739999999999,3.73981479,0.386323042,8.918299999999999e-05,1.2899224679999999,3.671e-06,0.00089951,1.84,-1.0,-0.0,-1.0,0.0,-512.0,-1.0,-0.0,-1.0,0.0,-0.0,20.06,10.518518519,0.059962628,9.0,11.0,0.8690688990000001,2.02,160.16666666700002,0.167934062,122.0,211.0,211.0,122.0,166.0,144.0,160.0,6.30910431,0.26835954300000003,4.655737705,9.777251185,9.777251185,4.655737705,6.659722222,5.108433735,6.2784810129999995,2.0,0.5396899070000001,0.521720332,0.0,1.0,0.856374435,0.095914377,0.7543022659999999,0.312782872,0.615676158,0.050962256,1.4782996019999999,-0.0,0.487019009,0.191087498,1.4e-08,0.058304075,3.516e-05,0.01528374,4.0,0.000633754,0.0009189430000000001,0.001299195,0.008428925,0.008428925,0.64,-512.0,0.0,0.0,0.0,0.0,0.0,62.48,2102.0,1.18681,5013.0,1.41421,5013.0,0.0,0.0,3.41158,0.797055,1.01318,0.0890463,2.4,1456.67,1.00436,6619.0,0.866072,9869.0,0.0,9869.0,2.11849,1.19682,0.989364,0.0626839,2.4,0.068967271,0.19059066300000002,2.02,sc14-app_train_preprocessed/atco_enc1_opt1_15_240_preprocessedi_features_preprocessed.txt
0,50277.0,283903.0,37962.0,250254.0,0.324403351,0.134459389,1.02,0.151693879,0.491426532,0.982829733,0.0,1.0,1.013055058,6.0377e-05,0.932029566,5.2684e-05,0.00160687,0.47973594299999994,0.0,0.892449272,0.960044595,0.04,6.0377e-05,0.694335426,7.992e-06,0.000303691,2.712223032,0.385562458,0.290737154,0.0,1.0,3.046983295,3.8899e-05,0.867440763,0.0,0.00027572,2.809600244,0.712448153,0.000159547,0.83863911,7.992e-06,0.0005274640000000001,2.36,7.8636e-05,1.3728121290000002,7.992e-06,0.003552391,3.049325032,0.22619904,0.60057848,0.011371556000000001,0.7142857140000001,3.1342788360000005,7.78,10.815384615,0.049705278,10.0,13.0,0.774131983,2.02,993.6,0.570587595,40.0,1560.0,1560.0,40.0,1541.0,734.0,1093.0,31.650932582,0.150538276,26.782250685999998,40.115509409,40.115509409,26.782250685999998,32.733333333000004,27.573569481999996,31.05,1.98,0.6279296,0.575490431,1e-08,1.0,0.95534765,0.041598058,0.9520425659999999,0.256865322,0.8208429770000001,0.06721165400000001,1.684771332,-0.0,0.486115887,0.312338983,0.001077234,0.068145972,0.001446482,0.010905551000000001,2.54,0.000263421,0.000500501,0.002607871,0.00890364,0.030135399,73.46,-512.0,0.0,0.0,0.0,0.0,0.0,64.1,6306.33,1.6947,8789.67,0.866026,13177.0,0.0,13177.0,3.43524,0.827274,1.13982,0.250968,2.14,503.889,0.783371,11755.3,0.375011,13229.0,0.0,13251.0,1.00955,1.21901,0.98413,0.0165414,2.32,0.38747357200000004,0.71256721,2.0,sc14-app_train_preprocessed/aaai10-planning-ipc5-pathways-17-step20_preprocessedi_features_preprocessed.txt
0,9569.0,150316.0,6576.0,134395.0,0.45513990299999996,0.118464229,0.42,0.048930392,0.39871256899999996,0.7903254190000001,0.0,1.0,2.081060426,0.000677715,0.424886272,0.000304136,0.003345499,1.869172456,0.0,0.097511068,0.36322035799999997,0.02,0.000677715,1.845580175,1.4882e-05,0.007775587,4.281936138,0.36452142600000004,0.279813476,0.0,1.0,4.0928561519999995,0.000161866,1.471458465,0.0,0.003147439,3.8753198380000002,0.315681387,0.000343879,0.6984260590000001,1.4882e-05,0.001019383,0.14,-1.0,-0.0,-1.0,0.0,-512.0,-1.0,-0.0,-1.0,0.0,-0.0,20.06,8.270408162999999,0.053706015999999995,8.0,9.0,0.583664386,2.02,3711.5,0.096052809,3355.0,4068.0,4068.0,3355.0,4068.0,3355.0,4068.0,30.17859778,0.067399998,28.144560358000003,32.212635202,32.212635202,28.144560358000003,32.212635202,28.144560358000003,32.212635202,1.98,0.558938704,0.565956232,0.000362154,1.0,0.998688738,0.144994844,0.8797810159999999,0.250981119,0.546815542,0.042326477,1.9605418140000002,-0.0,0.417330125,0.16618847,6e-09,0.027194466,2.8795e-05,0.0025013870000000003,2.38,0.0027372259999999997,0.005474453000000001,0.025699512999999997,0.025699512999999997,0.025699512999999997,0.04,-512.0,0.0,0.0,0.0,0.0,0.0,61.24,209.667,2.29404,2141.6,0.277278,2296.0,2236.0,2326.0,1.84824,0.729411,0.960781,0.073022,2.16,193.471,0.410074,2315.06,0.0152049,2325.0,2267.0,2350.0,0.88744,0.778236,0.952961,0.00892595,2.18,0.177458178,0.402675544,2.0,sc14-app_train_preprocessed/atco_enc1_opt2_10_14_preprocessedi_features_preprocessed.txt
0,163622.0,488120.0,28512.0,191987.0,4.73870651,1.5424638130000001,3.44,0.148510055,0.442659849,0.796657015,0.0,1.0,1.8308993930000002,0.000129601,0.466185179,7.0146e-05,0.00154321,1.6817399290000001,0.0,0.219572159,0.610093392,0.04,0.000129601,1.865895689,2.6043e-05,0.003750254,3.56444402,0.21314469600000002,0.17022786899999998,0.0,1.0,3.584509448,4.4675e-05,1.610472086,0.0,0.001213624,2.8292131510000003,0.43838905799999994,0.00011898,1.6109967719999998,2.6043e-05,0.002515795,1.4,-1.0,-0.0,-1.0,0.0,-512.0,-1.0,-0.0,-1.0,0.0,-0.0,20.04,9.155963303,0.06807730599999999,8.0,10.0,0.933834825,2.02,529.375,0.183565562,379.0,681.0,681.0,379.0,668.0,494.0,505.0,8.819168181,0.093538123,7.564643799,10.531571219,10.531571219,7.564643799,9.31316726,8.497757848,8.771255061,2.0,0.433695382,0.470956466,9e-09,1.0,0.694220976,0.136396044,0.592481193,0.283911672,0.452613951,0.05933111,0.986231752,-0.0,0.453320338,0.13863402,0.000486796,0.100617137,0.012854633999999998,0.038192486,2.64,3.5073e-05,0.000210438,0.005155724,0.005155724,0.005155724,0.06,-512.0,0.0,0.0,0.0,0.0,0.0,63.04,6050.0,1.60254,5756.0,0.866203,8533.0,0.0,8533.0,3.25604,1.44947,1.97369,0.956853,2.16,1562.43,0.176742,8656.86,0.00728798,8656.0,8567.0,8723.0,0.546899,1.00442,0.931337,0.0125865,2.24,0.063566574,0.169675766,2.0,sc14-app_train_preprocessed/hwmcc10-timeframe-expansion-k45-pdtvisns3p02-tseitin_preprocessedi_features_preprocessed.txt
0,13408.0,478484.0,12696.0,287981.0,0.056080655,0.661512391,1.68,0.044086242000000005,0.34299787299999995,0.7589029890000001,0.0,1.0,2.182831453,0.00044871900000000004,0.201126926,0.00015753,0.0015752989999999998,1.457407479,0.0,0.0011771610000000001,0.040183207,0.06,0.00044871900000000004,0.443748197,3.4725e-05,0.0009202,4.803312041,0.07141734799999999,0.04896129,0.0,0.4375,2.839965789,6.0488e-05,0.5050237120000001,3.472e-06,0.000263906,3.47031112,0.155593598,6.781e-05,0.41991711600000003,1.7362e-05,0.000163205,0.44,-1.0,-0.0,-1.0,0.0,-512.0,-1.0,-0.0,-1.0,0.0,-0.0,20.02,9.292682927000001,0.04896262,9.0,10.0,0.604536485,2.04,135.808219178,0.51493774,2.0,277.0,208.0,14.0,185.0,92.0,153.0,8.243100019,0.382772216,5.5875,23.4,10.455223881,5.909574468,8.904761905,6.307692307999999,7.243902439,2.0,0.145546429,0.6542968610000001,1.9478e-05,0.7540190379999999,0.28580770699999997,0.037749755,0.207574492,0.07414905,0.12397538699999999,0.045579664000000006,1.053081846,0.000177401,0.392517468,0.10875163199999999,0.003199055,0.059991525999999996,0.014455173,0.029289541000000002,3.34,0.0,0.0,0.0,7.8765e-05,0.001339004,0.16,-512.0,0.0,0.0,0.0,0.0,0.0,63.66,887.625,0.305971,2105.88,0.0180366,2109.5,2044.0,2134.0,0.96359,0.646233,0.868088,0.0424593,2.28,1137.6,1.04736,1881.8,0.351824,2079.5,0.0,2131.0,0.707828,2.55117,1.00303,0.484334,2.4,0.070259372,0.13175277400000002,2.02,sc14-app_train_preprocessed/008-80-8_preprocessedi_features_preprocessed.txt
0,9534.0,73676.0,7435.0,73281.0,0.28231338300000003,0.00539021,0.22,0.101458768,0.410793157,0.7160203940000001,0.0,1.0,1.7651728869999999,0.00055628,0.20430900600000002,0.000268998,0.0008069939999999999,1.166048593,0.0,0.008637983,0.27203504300000003,-0.0,0.00055628,0.73662127,0.000109169,0.001473779,3.314207133,0.020182456,0.05429052400000001,0.0,0.41666666700000005,0.854925996,0.000160316,0.609666886,2.7292e-05,0.000573136,3.112080974,0.315102141,0.000131384,0.454750376,5.4584e-05,0.000272922,0.1,-1.0,-0.0,-1.0,0.0,-512.0,-1.0,-0.0,-1.0,0.0,-0.0,20.02,9.662531017000001,0.050539135,9.0,11.0,0.6849724429999999,2.02,131.03448275899999,0.265279344,34.0,196.0,164.0,86.0,154.0,119.0,140.0,5.149175737,0.111266049,4.218181818,6.801526718,5.98125,4.463414633999999,5.52,4.703225806,5.0731707319999995,2.0,0.064968166,1.961375776,0.0,0.73183308,0.256670883,1.5863e-05,0.054110284,0.000323854,0.004963312,0.032515853,1.260530768,1.4715e-05,0.19166033899999999,0.11104975,0.00017460200000000002,0.041248007999999996,0.001099252,0.022640677999999997,1.1,0.000537996,0.000537996,0.000537996,0.000537996,0.000537996,0.0,-512.0,0.0,0.0,0.0,0.0,0.0,88.5,391.897,0.647819,1233.14,0.19347,1276.0,1232.0,1305.0,0.678248,0.848452,0.839755,0.156276,2.16,518.103,0.813818,1243.13,0.165637,1276.0,1240.0,1304.0,0.328909,2.68418,0.883657,0.340083,2.34,0.056113847,0.14764275400000001,2.0,sc14-app_train_preprocessed/MD5-32-5_preprocessedi_features_preprocessed.txt
0,2331.0,31022.0,2229.0,30851.0,0.045760431,0.00554277,0.08,0.072250494,0.352095865,0.8251296659999999,0.0,1.0,1.756275136,0.002650927,0.313910126,0.000897263,0.003140422,0.985387508,0.0,0.143074779,0.163819649,0.02,0.002650927,1.836162115,0.00025931099999999997,0.04038767,2.860962471,0.038579077,0.052943265999999996,0.0,0.269230769,1.8063198130000002,0.00031230200000000003,1.710217569,6.4828e-05,0.004797251,2.627662003,0.192700399,0.00036866599999999997,1.241887013,0.000162069,0.0037275940000000003,0.02,-1.0,-0.0,-1.0,0.0,-512.0,-1.0,-0.0,-1.0,0.0,-0.0,20.18,8.034140969,0.120423759,6.0,10.0,1.3422415109999999,2.02,1181.285714286,0.250658467,808.0,1750.0,1750.0,808.0,1391.0,966.0,1067.0,49.714452121,0.135188791,41.816770186,58.769949676,58.769949676,41.816770186,55.812877263999994,42.390857143000005,52.108910891,1.98,0.44042385799999995,0.646795053,0.0,0.8252573879999999,0.71257702,0.0051892729999999995,0.690693427,0.091192416,0.526080787,0.062898845,0.561877984,-0.0,0.320090259,0.10518271900000001,0.019867198,0.077634563,0.045484070999999994,0.050964210999999995,0.94,0.0,0.00269179,0.020637057,0.12875729,0.265141319,0.3,-512.0,0.0,0.0,0.0,0.0,0.0,66.26,102.137,0.297843,384.397,0.045548,386.0,358.0,405.0,0.805999,0.310688,0.725681,0.0284475,2.12,96.3016,0.792505,377.016,0.13861,383.0,356.0,408.0,0.262755,1.61218,0.73218,0.184283,2.18,0.269821011,0.6368064520000001,2.0,sc14-app_train_preprocessed/hitag2-8-60-0-0xfba1a41b5dfd7f7-52_preprocessedi_features_preprocessed.txt
0,1000.0,73331.0,1000.0,73331.0,0.0,0.0,0.56,0.013636798,0.37640518100000003,1.207532469,0.0,1.0,2.080154811,0.017410972,1.3136666479999999,0.002,0.072,1.67150538,0.0,0.681812603,0.681812603,0.02,0.017410972,0.938540382,0.0009409389999999999,0.046446932,5.478246047000001,0.457455906,0.38506063700000004,0.0,0.874010554,3.072050552,0.001033778,0.627240099,0.000136368,0.002604628,4.728020346,0.516889174,0.007471656,0.013443816,0.0071456819999999996,0.007759338,0.3,-1.0,-0.0,-1.0,0.0,-512.0,-1.0,-0.0,-1.0,0.0,-0.0,20.86,3.0,0.0,3.0,3.0,-0.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98,0.872564695,0.11655456900000001,0.653818461,0.9887498929999999,0.983734478,0.747772744,0.977688096,0.7777965,0.9110512129999999,0.25747113899999996,0.287317967,0.105291635,0.5,0.34250013799999995,0.163291307,0.289355664,0.21108771899999998,0.258057407,5.1,0.08,0.258,0.411,0.478,0.478,0.74,-512.0,0.0,0.0,0.0,0.0,0.0,60.34,52.0,2.0,387.5,0.667257,511.0,0.0,520.0,29.3681,0.266417,1.00407,0.00810284,2.2,22.25,1.28719,368.0,0.671289,478.5,0.0,507.0,22.217,0.408231,1.00055,0.00288302,2.16,0.525861538,0.724977632,2.0,sc14-app_train_preprocessed/complete-500-0.1-1-9876543215001_preprocessedi_features_preprocessed.txt
